caralho	#,Ja-corrigido,14 
8h	#,Ja-corrigido,1 
aa	#,Ja-corrigido,2 
priorizar	#,Ja-corrigido,1 
03h34	#,Ja-corrigido,1 
65kg	#,Ja-corrigido,1 
2x03	#,Ja-corrigido,2 
1kg	#,Ja-corrigido,1 
surtar	#,Ja-corrigido,2 
clica	#,Ja-corrigido,1 
gargalhamos	#,Ja-corrigido,1 
zebra	#,Ja-corrigido,2 
3hrs	#,Ja-corrigido,1 
notebook	#,Ja-corrigido,2 
21h45	#,Ja-corrigido,1 
05h40	#,Ja-corrigido,1 
h	#,Ja-corrigido,1 
entubar	#,Ja-corrigido,1 
rendinha	#,Ja-corrigido,1 
tropinha	#,Ja-corrigido,1 
220v	#,Ja-corrigido,1 
4g	#,Ja-corrigido,1 
bivolt	#,Ja-corrigido,1 
7kg	#,Ja-corrigido,1 
peguinhas	#,Ja-corrigido,1 
subcelebridade	#,Ja-corrigido,1 
desconectar	#,Ja-corrigido,1 
5x	#,Ja-corrigido,1 
4kg	#,Ja-corrigido,1 
peras	#,Ja-corrigido,1 
pirralha	#,Ja-corrigido,1 
uau	#,Ja-corrigido,1 
frequentar	#,Ja-corrigido,1 
solicitei	#,Ja-corrigido,2 
465g	#,Ja-corrigido,1 
500g	#,Ja-corrigido,1 
2h	#,Ja-corrigido,1 
baguinha	#,Ja-corrigido,1 
recarrego	#,Ja-corrigido,1 
14h	#,Ja-corrigido,2 
3h	#,Ja-corrigido,2 
agorinha	#,Ja-corrigido,2 
bolachinha	#,Ja-corrigido,1 
6h	#,Ja-corrigido,2 
agiliza	#,Ja-corrigido,1 
hamburguer	#,Ja-corrigido,1 
leia	#,Ja-corrigido,1 
32mb	#,Ja-corrigido,1 
zoam	#,Ja-corrigido,1 
120kg	#,Ja-corrigido,1 
60km	#,Ja-corrigido,1 
80kg	#,Ja-corrigido,1 
95kg	#,Ja-corrigido,1 
ziperes	#,Ja-corrigido,1 
colherzinha	#,Ja-corrigido,1 
florzinha	#,Ja-corrigido,1 
yakissoba	#,Ja-corrigido,1 
trailer	#,Ja-corrigido,2 
brochante	#,Ja-corrigido,2 
desatualizados	#,Ja-corrigido,1 
drivers	#,Ja-corrigido,1 
30m	#,Ja-corrigido,1 
262k	#,Ja-corrigido,1 
640x480	#,Ja-corrigido,1 
tudinho	#,Ja-corrigido,1 
400k	#,Ja-corrigido,1 
podesse	#,Ja-corrigido,1 
esparrar	#,Ja-corrigido,1 
gringa	#,Ja-corrigido,1 
1h12	#,Ja-corrigido,1 
22h18	#,Ja-corrigido,1 
22h41	#,Ja-corrigido,1 
4h51	#,Ja-corrigido,1 
marrenta	#,Ja-corrigido,1 
2g	#,Ja-corrigido,1 
720p	#,Ja-corrigido,1 
conectando	#,Ja-corrigido,1 
equalizar	#,Ja-corrigido,1 
planinho	#,Ja-corrigido,1 
salvei	#,Ja-corrigido,1 
esmagaremos	#,Ja-corrigido,1 
11hrs	#,Ja-corrigido,1 
zoado	#,Ja-corrigido,1 
60hz	#,Ja-corrigido,1 
funk	#,Ja-corrigido,4 
24k	#,Ja-corrigido,1 
boladona	#,Ja-corrigido,1 
t9	#,Ja-corrigido,1 
periguete	#,Ja-corrigido,2 
tuitou	#,Ja-corrigido,1 
zoada	#,Ja-corrigido,1 
clicava	#,Ja-corrigido,1 
conecta	#,Ja-corrigido,1 
conectei	#,Ja-corrigido,1 
omissa	#,Ja-corrigido,1 
desatualizado	#,Ja-corrigido,2 
xiados	#,Ja-corrigido,1 
acessado	#,Ja-corrigido,1 
desgela	#,Ja-corrigido,1 
beliebers	#,Ja-corrigido,1 
indianamente	#,Ja-corrigido,1 
seringada	#,Ja-corrigido,1 
1ghz	#,Ja-corrigido,1 
2gb	#,Ja-corrigido,1 
850mhz	#,Ja-corrigido,1 
rediscagem	#,Ja-corrigido,1 
semiprofissionais	#,Ja-corrigido,1 
trincamento	#,Ja-corrigido,1 
direcionam	#,Ja-corrigido,1 
birrinha	#,Ja-corrigido,1 
reservadinho	#,Ja-corrigido,1 
carma	#,Ja-corrigido,1 
chiada	#,Ja-corrigido,1 
p1	#,Ja-corrigido,1 
pauleira	#,Ja-corrigido,1 
musiquinhas	#,Ja-corrigido,1 
cachorrona	#,Ja-corrigido,1 
carinha	#,Ja-corrigido,2 
resuminho	#,Ja-corrigido,1 
33hs	#,Ja-corrigido,2 
512mb	#,Ja-corrigido,1 
800mhz	#,Ja-corrigido,1 
combos	#,Ja-corrigido,1 
bombando	#,Ja-corrigido,1 
pitiquinho	#,Ja-corrigido,1 
mira	#,Ja-corrigido,1 
20h30	#,Ja-corrigido,1 
frequentava	#,Ja-corrigido,1 
zebrinha	#,Ja-corrigido,1 
casinho	#,Ja-corrigido,1 
clicar	#,Ja-corrigido,1 
remix	#,Ja-corrigido,1 
desestressar	#,Ja-corrigido,1 
trollagens	#,Ja-corrigido,1 
uai	#,Ja-corrigido,1 
bixa	#,Ja-corrigido,1 
multijogador	#,Ja-corrigido,1 
9h	#,Ja-corrigido,1 
apampa	#,Ja-corrigido,1 
1mhz	#,Ja-corrigido,1 
300mb	#,Ja-corrigido,1 
7gb	#,Ja-corrigido,1 
bandidagem	#,Ja-corrigido,1 
risquinhos	#,Ja-corrigido,1 
21hrs	#,Ja-corrigido,1 
cheddar	#,Ja-corrigido,1 
surtei	#,Ja-corrigido,1 
zoar	#,Ja-corrigido,1 
direcionada	#,Ja-corrigido,1 
ensaiadinho	#,Ja-corrigido,1 
epa	#,Ja-corrigido,2 
parzinho	#,Ja-corrigido,1 
poetinha	#,Ja-corrigido,1 
tosquice	#,Ja-corrigido,1 
1a	#,Ja-corrigido,1 
urgh	#,Ja-corrigido,1 
magoadinha	#,Ja-corrigido,1 
32gb	#,Ja-corrigido,1 
8g	#,Ja-corrigido,1 
21h25	#,Ja-corrigido,1 
sociopata	#,Ja-corrigido,1 
baba	#,Ja-corrigido,1 
gigahertz	#,Ja-corrigido,1 
osx	#,Ja-corrigido,1 
