eh	é,IN,79
muuuuito	muito,IN,1 
terrona	terra,IN,1 
net	internet,IN,1 
botiquim	boteco,IN,1 
cargar	carregar,IN,1 
prob	problema,IN,1 
ain	ai,IN,1 
bommm	bom,IN,1 
miiiil	mil,IN,1 
oieeee	oi,IN,1 
pll	#,IN,1 
euu	eu,IN,2 
ngmmm	ninguém,IN,1 
nojoooo	nojo,IN,1 
todooo	todo,IN,1 
dnv	#,IN,1 
essaaa	essa,IN,1 
agoraaaaaaa	agora,IN,1 
ctz	certeza,IN,1 
euuu	eu,IN,2 
mane	mané,IN,1 
pprt	#,IN,1 
meo	meu,IN,1 
pfvr	#,IN,1 
descontrolaaaaaadaaaaa	descontrolada,IN,1 
rangar	comer,IN,1 
chuviscariiii	chuviscar,IN,1 
aviadado	afeminado,IN,1 
aindaa	ainda,IN,1 
amanhaa	amanhã,IN,1 
ambulanteee	ambulante,IN,1 
assistindoo	assistindo,IN,1 
namorandoo	namorando,IN,1 
naquelaa	naquela,IN,1 
piadaa	piada,IN,1 
taa	está,IN,1 
tamirees	tamires,IN,1 
vaii	vai,IN,1 
aaaahh	ah,IN,1 
aaaiii	ah,IN,1 
loka	louca,IN,1 
mds	#,IN,2 
aaaaaaaaa	ah,IN,1 
brinks	brincando,IN,1 #,IN,1 brincadeira,IN,1 
fdd	fudido,IN,1 
pesadooo	pesado,IN,1 
meldis	merda,IN,3 
tiira	tira,IN,1 
add	adicionar,IN,1 
emoji	#,IN,1 
comentouu	comentou,IN,1 
foii	foi,IN,1 
leuu	leu,IN,1 
onteeem	ontem,IN,1 
textooo	texto,IN,1 
tudoo	tudo,IN,3 
voceee	você,IN,1 #,IN,1 
hinoo	hino,IN,1 
mlk	moleque,IN,3 
olleh	olé,IN,1 
caraaaaaa	cara,IN,1 
assimmmmm	assim,IN,1 
mimir	dormir,IN,2 
geladaoooo	geladão,IN,1 
taria	estaria,IN,1 
treinooo	treino,IN,1 
tristeee	triste,IN,1 
iiiii	ih,IN,1 
zoa	brincadeira,IN,1 
fik	fica,IN,1 
qm	quem,IN,1 
comeer	comer,IN,1 
comeriaa	comeria,IN,1 
comidaa	comida,IN,1 
deuu	deu,IN,1 
falandoo	falando,IN,1 
naoo	não,IN,1 
tecooo	troço,IN,1 
vontadee	vontade,IN,1 
fluzao	fluzão,IN,1 
sorteee	sorte,IN,1 
pudinzinho	pudim,IN,1 
brigadinha	obrigada,IN,1 
votalhada	votação,IN,1 
xs	vezes,IN,1 
topper	top,IN,1 #,IN,1 
batolage	#,IN,2 
apagaaa	#,IN,1 
eo	eu,IN,1 
ultando	#,IN,1 
bue	muito,IN,1 
hm	um,IN,1 
troll	#,IN,1 
vsff	#,IN,1 
amooo	#,IN,1 amo,IN,1 
faaaar	#,IN,1 
gurizao	#,IN,1 
kabo	#,IN,1 
kiridan	#,IN,1 
lindona	#,IN,3 
okay	#,IN,1 
teeeee	#,IN,1 
bao	bom,IN,2 
gominhos	#,IN,1 
instapanico	#,IN,1 
superflor	#,IN,1 
zona	#,IN,1 
alimnetaaar	#,IN,1 
aniversariooo	#,IN,1 
clique	#,IN,2 
deliciinha	#,IN,1 
discretaa	#,IN,1 
emboraaaa	#,IN,1 
instaaa	#,IN,1 
ounnn	#,IN,1 
ousadoo	#,IN,1 
queriaa	#,IN,2 
bonitim	#,IN,1 
dimai	#,IN,1 
fude	#,IN,1 
crush	#,IN,2 
loucao	#,IN,1 
meme	#,IN,1 
piranhona	#,IN,1 
putiane	#,IN,1 
brincs	#,IN,1 brincadeira,IN,1 
tarjando	#,IN,1 
men	homem,IN,1 
credooo	#,IN,1 
mn	man,IN,1 
continuee	#,IN,1 
convocadaa	#,IN,1 
emagreceuu	#,IN,1 
gordaaa	#,IN,1 
kiloos	#,IN,1 
maezonaa	#,IN,1 
migaaa	#,IN,1 
podeee	#,IN,1 
regionaiis	#,IN,1 
aff	#,IN,1 
instasnaps	#,IN,1 
xau	tchau,IN,2 
coisica2	#,IN,1 
scrock	#,IN,1 
aaah	#,IN,1 
crushs	#,IN,1 
muie	mulher,IN,1 
caprichete	#,IN,1 
caraia	#,IN,1 
flopar	#,IN,1 
juntaro	#,IN,1 
ronczzzzzzzzzzzzzz	#,IN,1 
het	#,IN,1 
lovezin	#,IN,1 
monstra	#,IN,1 
poowww	#,IN,1 
rrrrrrrroubou	#,IN,1 
zoas	#,IN,1 
taoooo	#,IN,1 
tcd	#,IN,3 
twitadas	#,IN,1 
zoeirasssss	#,IN,1 
felizona	#,IN,1 
showzinho	#,IN,1 
jogabilidades	jogabilidade,IN,2 
muitoooooo	muito,IN,1 
brasilis	#,IN,1 
kcete	cacete,IN,1 
desinstalar	#,IN,1 
jega	#,IN,1 
adorooooo	#,IN,1 
boninhadas	#,IN,1 
cell	céu,IN,1 
dells	deus,IN,1 
muuiiiiiiiiiiiiiito	muito,IN,1 
amorzinho	amor,IN,1 
aviona	avião,IN,1 
mamy	mãe,IN,2 
minimo	menino,IN,1 
vesguinho	vesgo,IN,1 
amoooor	amor,IN,1 
comecinho	#,IN,1 
ahh	#,IN,2 
homao	#,IN,1 
tudinho	#,IN,1 
megas	#,IN,1 
buceta	#,IN,1 
descobreeeee	#,IN,1 
homi	homem,IN,1 
horrorrr	#,IN,1 
agoooora	agora,IN,1 
awn	#,IN,1 
fofinhosss	#,IN,1 
tadin	#,IN,1 
fofuchos	#,IN,1 
ham	#,IN,1 
ryca	#,IN,1 
sacoooooo	#,IN,1 
deuso	deus,IN,1 
novis	novidade,IN,1 
gravaaaaar	gravar,IN,1 
mimmmmm	mim,IN,1 
sabeeeee	sabe,IN,1 
vcccc	você,IN,2 
falsiane	falso,IN,1 
potaquiospariu	#,IN,1 
foraaaaaaaaaaaaaaaa	fora,IN,1 
adoruuuu	adoro,IN,1 
brigadaaaa	obrigada,IN,1 
hinooooo	hino,IN,1 
momis	mãe,IN,1 
ozamigo	#,IN,1 
surtadinho	louco,IN,1 
kra	cara,IN,1 
ameiiii	amei,IN,1 
maisssssssss	mais,IN,1 
moreee	amor,IN,1 
siiim	sim,IN,1 
maravilhosaaa	maravilhosa,IN,1 
opaaa	#,IN,1 
boladona	chateada,IN,1 
deuuus	deus,IN,1 
meuuuu	meu,IN,1 
serumaninho	#,IN,1 
vamoooooooooooo	vamos,IN,1 
cornetar	xingar,IN,2 
fuuuuii	fui,IN,1 
peguete	namorado,IN,1 
ahazo	arrasou,IN,1 
obrigaaddooo	obrigado,IN,1 
raba	nádegas,IN,1 
scrrrrr	socorro,IN,1 
boyzinho	menino,IN,1 
entaum	então,IN,1 
pepeca	vagina,IN,1 
massssss	mas,IN,1 
mew	meu,IN,1 
muuuuuuuito	muito,IN,1 
caraiiiii	caralho,IN,1 
problemaaaa	problema,IN,1 
pouquin	pouquinho,IN,1 
aaa	ah,IN,1 
legaall	legal,IN,1 
atee	até,IN,1 
dormiiiir	dormir,IN,1 
dormiir	dormir,IN,1 
ouu	ou,IN,1 
pensoo	penso,IN,1 
quandoo	quando,IN,1 
quintaa	quinta,IN,1 
raiaar	raiar,IN,1 
zap	whatsapp,IN,1 
lokas	loucas,IN,1 
buzanfam	buzanfão,IN,1 
marvada	malvada,IN,1 
flw	#,IN,1 
galeraaaa	#,IN,1 
heimmm	#,IN,1 
mlkedaaaa	#,IN,1 
picaaaaa	#,IN,1 
skaaaaate	#,IN,1 
amoresssss	amores,IN,1 
bosssssta	bosta,IN,1 
caraca	#,IN,1 
dmsss	demais,IN,1 
fodaaa	foda,IN,1 
acordouu	acordou,IN,1 
boaaa	boa,IN,1 
milionariaaaa	milionária,IN,1 
tardee	tarde,IN,1 
poem	põe,IN,1 
poha	porra,IN,1 
somemm	#,IN,1 
migaa	amiga,IN,1 
oii	oi,IN,1 
vcss	vocês,IN,1 
nadaaa	nada,IN,1 
tristeeeee	triste,IN,1 
seeeeeenhor	senhor,IN,1 
opps	ops,IN,1 
enlouqueeeeeece	enlouquece,IN,1 
montanhaa	montanha,IN,1 
boaaaaaaaaaaaaaaaaaaaaaaaaa	boa,IN,1 
millllllllll	mil,IN,1 
recomendoooo	recomendo,IN,1 
fodeeeer	foder,IN,1 
nariga	nariz,IN,1 
aaaaah	ah,IN,1 
