helo	#,NP,5 
woman	#,NP,1 
zuckerberg	#,NP,2 
alone	#,NP,1 
angela	#,NP,25 
bbb8	#,NP,1 
carrefour	#,NP,2 
heim	#,NP,1 
oh	#,NP,1 
polly	#,NP,3 
shazan	#,NP,1 
slin	#,NP,1 
urach	#,NP,1 
bial	#,NP,22 
coisica2	#,NP,2 
di	#,NP,1 
dianao	#,NP,10 
ro	#,NP,1 
dick	#,NP,10 
emoji	#,NP,3 
gnt	#,NP,2 
happybvanessagiacomo	#,NP,1 
laila	#,NP,21 
lin	#,NP,3 
manuel	#,NP,5 
marauders	#,NP,5 
van	#,NP,11 
jikook	#,NP,2 
woozi	#,NP,1 
youtube	#,NP,7 
joyce	#,NP,1 
vivibora	#,NP,1 
brasilis	#,NP,2 
dilma	#,NP,30 
eduardo	#,NP,5 
geraldo	#,NP,5 
lula	#,NP,7 
marina	#,NP,6 
saney	#,NP,2 
sarney	#,NP,5 
sarneys	#,NP,6 
serra	#,NP,5 
acrigel	#,NP,1 
bbb17	#,NP,1 
better	#,NP,1 
mallly	#,NP,1 
stitches	#,NP,1 
treat	#,NP,1 
you	#,NP,3 
after	#,NP,3 
duduzinho	#,NP,5 
elletra	#,NP,5 
habibs	#,NP,4 
idd	#,NP,3 
ilmar	#,NP,31 ilmar,NP,1 
isabella	#,NP,10 
jb	#,NP,7 
jega	#,NP,1 
little	#,NP,9 
maejor	#,NP,6 
party	#,NP,4 
rudy	#,NP,7 
bondfaro	#,NP,3 
buscape	#,NP,2 buscapé,NP,1 
evita	#,NP,1 
glass	#,NP,2 
google	#,NP,5 
gorilla	#,NP,1 
ipad	#,NP,10 
machine	#,NP,2 
olympus	#,NP,2 
walmart	#,NP,1 
andre	#,NP,3 
espn	#,NP,1 
gabriel	#,NP,2 
piercing	#,NP,1 
sad	#,NP,1 
songs	#,NP,1 
backlight	#,NP,1 
easylink	#,NP,1 
hub	#,NP,1 
lorenzetti	#,NP,2 
nikon	#,NP,3 
p510	#,NP,1 
smart	#,NP,8 
bia	#,NP,2 
luiza	#,NP,1 
milla	#,NP,1 
wtf	#,NP,1 
xanaina	#,NP,1 
xuliana	#,NP,1 
2d	#,NP,2 
camera	#,NP,1 
codec	#,NP,1 
divx	#,NP,4 
drive	#,NP,2 
fat32	#,NP,2 
netcast	#,NP,3 
pen	#,NP,2 
ray	#,NP,1 
door	#,NP,1 
ieda	#,NP,16 
mao	#,NP,1 
two	#,NP,1 
acensions	#,NP,1 
batlefield	#,NP,1 
bean	#,NP,3 
call	#,NP,3 
chimera	#,NP,1 
clarke	#,NP,1 
crysis	#,NP,2 
dogs	#,NP,1 
dsc	#,NP,2 
duty	#,NP,3 
ellie	#,NP,1 
fifa	#,NP,2 
god	#,NP,2 
hellghast	#,NP,1 
holmes	#,NP,1 
isaac	#,NP,1 
jelly	#,NP,3 
jodie	#,NP,1 
joel	#,NP,1 
kratos	#,NP,1 
lap	#,NP,1 
last	#,NP,2 
lionel	#,NP,1 
messi	#,NP,2 
n1	#,NP,1 
necromorphs	#,NP,1 
of	#,NP,8 
playstation	#,NP,3 
tab	#,NP,7 
war	#,NP,2 
watching	#,NP,1 
york	#,NP,1 
by	#,NP,1 
dani	#,NP,1 
gaga	#,NP,2 
hayssa	#,NP,1 
ig	#,NP,2 
joanne	#,NP,1 
maelo	#,NP,2 
mix	#,NP,8 
olleh	#,NP,1 
paulinho	#,NP,2 
ruiz	#,NP,2 
vox	#,NP,1 
bianca	#,NP,2 
camila	#,NP,1 
emy	#,NP,2 
lance	#,NP,2 
paris	#,NP,1 
snow	#,NP,1 
zarya	#,NP,1 
alpha	#,NP,4 
dan	#,NP,11 
dee	#,NP,3 
fighter	#,NP,10 
fuerte	#,NP,3 
gen	#,NP,4 
hawk	#,NP,8 
jay	#,NP,4 
lumia	#,NP,5 
nokia	#,NP,28 
remote	#,NP,5 
rufus	#,NP,4 
sakura	#,NP,4 
sansung	#,NP,3 samsung,NP,1 
split	#,NP,9 
street	#,NP,5 
vivace	#,NP,5 
webcontinental	#,NP,4 
alyson	#,NP,1 
parme	#,NP,1 
pry	#,NP,1 
veni	#,NP,1 
vici	#,NP,1 
vidi	#,NP,1 
3g	#,NP,3 
cadence	#,NP,1 
honeycomb	#,NP,1 
canon	#,NP,6 
e5	#,NP,2 
kevlar	#,NP,1 
motorola	#,NP,12 
orkut	#,NP,1 
x2	#,NP,1 
xerox	#,NP,1 
xt910	#,NP,1 
carlos	#,NP,9 
dispiei	#,NP,1 
jean	#,NP,5 
nog	#,NP,9 
otavio	#,NP,5 
topper	#,NP,1 
wwe	#,NP,2 
aguilar	#,NP,1 
aline	#,NP,15 
dhomini	#,NP,9 
itaipava	#,NP,2 
justus	#,NP,1 
procon	#,NP,1 
fontopia	#,NP,1 
walkman	#,NP,1 
maisfollowers	#,NP,1 
mayla	#,NP,1 
nailson	#,NP,1 
sindonia	#,NP,1 
green	#,NP,7 
ivan	#,NP,3 
marcello	#,NP,3 
nathalia	#,NP,3 
yuri	#,NP,5 
home	#,NP,3 
theater	#,NP,3 
a500	#,NP,5 
asus	#,NP,3 
dvd	#,NP,1 
eee	#,NP,1 
iconia	#,NP,5 
nvidia	#,NP,1 
pad	#,NP,1 
tegra	#,NP,1 
transformer	#,NP,1 
xoom	#,NP,2 
cirino	#,NP,2 
i	#,NP,1 
it	#,NP,2 
lara	#,NP,2 
light	#,NP,3 
cowboy	#,NP,1 
kleber	#,NP,3 
lolita	#,NP,1 
bill	#,NP,1 
direction	#,NP,1 
hornet	#,NP,1 
meme	#,NP,1 
mention	#,NP,1 
mv	#,NP,1 
zip	#,NP,1 
barbosa	#,NP,1 
cece	#,NP,1 
han	#,NP,1 
kate	#,NP,1 
kris	#,NP,1 
stor	#,NP,1 
anderson	#,NP,2 
bones	#,NP,8 
carelli	#,NP,6 
channels	#,NP,1 
clayton	#,NP,3 
fox	#,NP,4 
guinho	#,NP,2 
huguinho	#,NP,1 
international	#,NP,1 
oa	#,NP,1 
onofre	#,NP,2 
palmirinha	#,NP,6 
sportv	#,NP,1 
shape	#,NP,2 
ayres	#,NP,1 
geralda	#,NP,4 
jackson	#,NP,2 
munik	#,NP,16 
ronan	#,NP,8 
roseana	#,NP,1 
be	#,NP,1 
bruno	#,NP,3 
chris	#,NP,1 
fany	#,NP,1 
hemsworth	#,NP,1 
maroquinha	#,NP,1 
may	#,NP,1 
multishow	#,NP,3 
pi	#,NP,1 
thor	#,NP,2 
deia	#,NP,1 
genaro	#,NP,1 
iozzi	#,NP,1 
piva	#,NP,1 
rosa	#,NP,1 
sergipe	#,NP,1 
xs	#,NP,1 
benjoin	#,NP,1 
bona	#,NP,1 
exr	#,NP,2 
fred	#,NP,1 
fujifilm	#,NP,3 
hermes	#,NP,1 
hs25	#,NP,2 
leica	#,NP,1 
pentax	#,NP,1 
terre	#,NP,2 
word	#,NP,2 
catcher	#,NP,1 
deezer	#,NP,1 
ed	#,NP,1 
gi	#,NP,2 
in	#,NP,1 
paypal	#,NP,1 
rye	#,NP,1 
sheeran	#,NP,1 
alaska	#,NP,1 
chill	#,NP,1 
marinalva	#,NP,5 
milk	#,NP,2 
out	#,NP,1 
shake	#,NP,1 
april	#,NP,1 
s2	#,NP,5 
tinder	#,NP,2 
karol	#,NP,2 
stark	#,NP,1 
thrones	#,NP,1 
uber	#,NP,5 
bonder	#,NP,1 
cab	#,NP,2 
cab11	#,NP,2 
marcia	#,NP,1 
miney	#,NP,2 
believe	#,NP,1 
chronicles	#,NP,1 
deep	#,NP,1 
kira	#,NP,1 
space	#,NP,1 
aoki	#,NP,1 
cblol	#,NP,1 
idol	#,NP,1 
linkin	#,NP,1 
lolzin	#,NP,1 
park	#,NP,1 
renan	#,NP,1 
maumala	#,NP,1 
patrik	#,NP,1 
paula	#,NP,5 
rodrigay	#,NP,2 
apple	#,NP,6 
cce	#,NP,1 
corel	#,NP,1 
g	#,NP,1 
navigon	#,NP,2 
photoshop	#,NP,1 
ready	#,NP,1 
tablets	#,NP,1 
toshiba	#,NP,1 
elicarlos	#,NP,1 
kat	#,NP,1 
sizzy	#,NP,1 
andreia	#,NP,1 
asriel	#,NP,1 
chat	#,NP,2 
direct	#,NP,1 
hp	#,NP,3 
messenger	#,NP,3 
nx1000	#,NP,1 
nx20	#,NP,1 
panasonic	#,NP,1 
quadriband	#,NP,2 
talk	#,NP,1 
blueyes	#,NP,1 
dimm	#,NP,2 
etty	#,NP,1 
jujjuu	#,NP,1 
lu	#,NP,2 
pedro	#,NP,8 
girls	#,NP,1 
h	#,NP,1 
yourself	#,NP,1 
fallout	#,NP,1 
funko	#,NP,1 
irma	#,NP,2 
moana	#,NP,1 
pops	#,NP,1 
suy	#,NP,1 
thai	#,NP,1 
voice	#,NP,3 
nati	#,NP,1 
4g	#,NP,1 
amp	#,NP,2 
citz	#,NP,1 
deke	#,NP,1 
dock	#,NP,1 
guitar	#,NP,2 
hero	#,NP,1 
heros	#,NP,1 
qwert	#,NP,1 
amanda	#,NP,14 
francine	#,NP,4 
geisoca	#,NP,1 
gontijo	#,NP,1 
grazi	#,NP,1 
holo	#,NP,1 
jimenez	#,NP,1 
keila	#,NP,1 
massafera	#,NP,1 
mazon	#,NP,3 
nazareia	#,NP,1 
otaviano	#,NP,2 
polyana	#,NP,3 
roni	#,NP,13 
tatiele	#,NP,5 
vibe	#,NP,1 
zagonel	#,NP,1 
zeca	#,NP,1 
hx200v	#,NP,1 
motionflow	#,NP,1 
surround	#,NP,1 
black	#,NP,2 
adrilles	#,NP,16 
cezar	#,NP,16 
luan	#,NP,3 
mariza	#,NP,19 
rafael	#,NP,5 
talita	#,NP,9 
vii	#,NP,1 
alan	#,NP,1 
carolina	#,NP,4 
claudinha	#,NP,1 
dickman	#,NP,1 
fangio	#,NP,1 
fernandes	#,NP,1 
ferrari	#,NP,1 
hill	#,NP,1 
i9	#,NP,1 
jennifer	#,NP,1 
jl	#,NP,2 
jones	#,NP,1 
kadu	#,NP,4 
leitte	#,NP,1 
lopez	#,NP,1 
michael	#,NP,3 
nelson	#,NP,1 
nick	#,NP,2 
parga	#,NP,2 
piquet	#,NP,2 
poly	#,NP,9 
schumacher	#,NP,3 
senna	#,NP,1 
thiaguinho	#,NP,1 
br	#,NP,2 
dare	#,NP,1 
estalle	#,NP,1 
gorillaz	#,NP,1 
rapper	#,NP,1 
twittgram	#,NP,1 
autuori	#,NP,1 
belmiro	#,NP,1 
careless	#,NP,1 
guardiola	#,NP,1 
pivetti	#,NP,1 
whisper	#,NP,1 
zop	#,NP,1 
1025c	#,NP,1 
bluray	#,NP,2 
decoder	#,NP,1 
media	#,NP,1 
chavistas	#,NP,1 
alexandre	#,NP,1 
lucia	#,NP,1 
sandrinha	#,NP,2 
fifth	#,NP,4 
harmony	#,NP,4 
avril	#,NP,2 
barbie	#,NP,1 
cirie	#,NP,1 
guga	#,NP,1 
james	#,NP,1 
lily	#,NP,1 
ragazzo	#,NP,1 
sofia	#,NP,2 
steph	#,NP,1 
dougras	#,NP,1 
golden	#,NP,1 
jacuzzi	#,NP,1 
karla	#,NP,1 
maikou	#,NP,1 
renata	#,NP,1 
spurs	#,NP,1 
state	#,NP,1 
tefis	#,NP,1 
tweetei	#,NP,1 
at	#,NP,1 
ati	#,NP,1 
cry	#,NP,1 
devil	#,NP,1 
eos	#,NP,2 
megapix	#,NP,1 
rebel	#,NP,2 
t2i	#,NP,2 
caprichetes	#,NP,1 
falsianes	#,NP,1 
alfredo	#,NP,1 
fettuccine	#,NP,1 
glomorteza	#,NP,1 
tamires	#,NP,17 
tata	#,NP,1 
ventinha	#,NP,1 
charliiin	#,NP,1 
juks	#,NP,1 
marlene	#,NP,1 
page	#,NP,1 
sarzao	#,NP,1 
selena	#,NP,1 
guardian	#,NP,1 
imfact	#,NP,1 
tweets	#,NP,1 
epson	#,NP,1 
java	#,NP,3 
jsal	#,NP,1 
lx300	#,NP,1 
qwerty	#,NP,1 
sharp	#,NP,1 
zipmail	#,NP,1 
airton	#,NP,1 
andorra	#,NP,1 
harry	#,NP,2 
maldonado	#,NP,1 
s8	#,NP,3 
torozinho	#,NP,1 
tum	#,NP,4 
botafogo	#,NP,1 
emo	#,NP,1 
tang	#,NP,1 
tva	#,NP,2 
bam	#,NP,2 
fe	#,NP,1 
porcamila	#,NP,1 
amin	#,NP,2 
ca	#,NP,2 
ip	#,NP,1 
fight	#,NP,1 
karthus	#,NP,1 
control	#,NP,4 
gun	#,NP,4 
lgs	#,NP,1 
welly	#,NP,1 
yasmin	#,NP,1 
armani	#,NP,1 
code	#,NP,2 
eua	#,NP,1 
microsd	#,NP,3 
parfum	#,NP,1 
sex	#,NP,1 
aldo	#,NP,1 
floripa	#,NP,1 
hulk	#,NP,1 
nico	#,NP,1 
paulao	#,NP,1 
zago	#,NP,2 
lolah	#,NP,1 
rihanna	#,NP,3 
snaps	#,NP,2 
eletrolux	#,NP,1 
mac	#,NP,3 
market	#,NP,1 
windons	windows,NP,1 
ariadna	#,NP,1 
but	#,NP,1 
chanel	#,NP,1 
houston	#,NP,1 
japeri	#,NP,2 
jungle	#,NP,1 
kamilina	#,NP,1 
nani	#,NP,1 
not	#,NP,1 
right	#,NP,1 
rodrigocosta	#,NP,1 
sabrina	#,NP,2 
sato	#,NP,1 
whitney	#,NP,1 
yanacioli	#,NP,1 
leleco	#,NP,1 
ludmilla	#,NP,2 
nunes	#,NP,1 
piaia	#,NP,1 
sampaia	#,NP,1 
sampaio	#,NP,3 
teresina	#,NP,1 
fist	#,NP,1 
iron	#,NP,1 
larissa	#,NP,4 
mochael	#,NP,1 
river	#,NP,1 
scofield	#,NP,1 
t3ddy	#,NP,1 
amazing	#,NP,2 
keekee	#,NP,1 
luana	#,NP,1 
marri	#,NP,2 
emi	#,NP,1 
jonati	#,NP,1 
russ	#,NP,1 
marli	#,NP,1 
projac	#,NP,1 
bruna	#,NP,2 
dieckmann	#,NP,3 
djehdian	#,NP,1 
herrera	#,NP,1 
iris	#,NP,1 
ivete	#,NP,3 
jorge	#,NP,1 
lethicia	#,NP,1 
lima	#,NP,3 
macedo	#,NP,1 
marquezine	#,NP,2 
reipert	#,NP,1 
stefanelli	#,NP,1 
mallymar	#,NP,1 
card	#,NP,1 
cassio	#,NP,4 
diego	#,NP,14 
master	#,NP,1 
slim	#,NP,1 
ana	#,NP,5 
breaking	#,NP,1 
news	#,NP,1 
noodles	#,NP,1 
diet	#,NP,1 
dolly	#,NP,1 
franciele	#,NP,5 
lost	#,NP,1 
ramirez	#,NP,2 
tafarel	#,NP,2 
xuxa	#,NP,2 
byun	#,NP,1 
life	#,NP,2 
lohanny	#,NP,1 
lust	#,NP,1 
smite	#,NP,1 
theo	#,NP,1 
valhalla	#,NP,1 
heron	#,NP,1 
itac	#,NP,1 
pepitaaaa	#,NP,1 
adriana	#,NP,2 
ariadina	#,NP,1 
balsami	#,NP,1 
cristiano	#,NP,2 
diogo	#,NP,1 
igor	#,NP,3 
jackeline	#,NP,1 
karaoke	#,NP,1 
mauricio	#,NP,1 
miclelle	#,NP,1 
zeze	#,NP,1 
b3ards	#,NP,1 
nunig	#,NP,1 
ricon	#,NP,1 
bhaktis	#,NP,1 
brastemp	#,NP,1 
shaolins	#,NP,1 
sufis	#,NP,1 
udasis	#,NP,1 
zens	#,NP,1 
aslan	#,NP,2 
gena	#,NP,1 
yvaine	#,NP,1 
aghata	#,NP,1 
bernardo	#,NP,1 
carmo	#,NP,1 
dede	#,NP,1 
exo	#,NP,1 
kyungsoo	#,NP,1 
ronaldo	#,NP,1 
viih	#,NP,2 
b3	#,NP,1 
linux	#,NP,2 
aoc	#,NP,1 
caloi	#,NP,2 
ebit	#,NP,1 
sims	#,NP,2 
adriles	#,NP,1 
adrlles	#,NP,1 
nandinha	#,NP,1 
batman	#,NP,1 
born	#,NP,1 
muse	#,NP,1 
new	#,NP,1 
superman	#,NP,1 
vs	#,NP,1 
ambilight	#,NP,2 
multilaser	#,NP,2 
neoassist	#,NP,1 
vga	#,NP,1 
wav	#,NP,2 
emilia	#,NP,1 
euphoria	#,NP,1 
frankie	#,NP,1 
grace	#,NP,1 
luisa	#,NP,1 
mandraks	#,NP,1 
naruto	#,NP,2 
neelix	#,NP,1 
silvia	#,NP,1 
cod4	#,NP,1 
mctavish	#,NP,1 
modern	#,NP,1 
soap	#,NP,1 
store	#,NP,4 
warfare	#,NP,1 
gold	#,NP,1 
club	#,NP,1 
debora	#,NP,1 
penguin	#,NP,1 
smile	#,NP,2 
angelica	#,NP,2 
domini	#,NP,1 
douglas	#,NP,1 
fitechera	#,NP,1 
clarenses	#,NP,1 
darcy	#,NP,1 
mai	#,NP,1 
marcoe	#,NP,1 
pong	#,NP,1 
geovany	#,NP,1 
whinderson	#,NP,1 
ava	#,NP,1 
curiouscat	#,NP,1 
ev	#,NP,1 
jeon	#,NP,1 
jungkook	#,NP,1 
andorid	#,NP,1 
fonepad	#,NP,1 
fullsound	#,NP,1 
s40	#,NP,1 
scarlet	#,NP,1 
banger	#,NP,1 
mah	#,NP,1 
nicolas	#,NP,2 
raiska	#,NP,1 
seungkwan	#,NP,2 
skepta	#,NP,1 
altair	#,NP,1 
andersom	#,NP,1 
brian	#,NP,1 
erick	#,NP,1 
ezio	#,NP,1 
wendy	#,NP,1 
brigade	#,NP,1 
clash	#,NP,1 
class	#,NP,1 
gameloft	#,NP,1 
hyuna	#,NP,1 
hyunseung	#,NP,1 
maker	#,NP,2 
royale	#,NP,1 
tactics	#,NP,1 
trouble	#,NP,2 
copacabana	#,NP,1 
estella	#,NP,1 
gianetti	#,NP,2 
is	#,NP,2 
junior	#,NP,3 
keulla	#,NP,3 
king	#,NP,4 
tatoo	#,NP,1 
layde	#,NP,1 
shaylon	#,NP,1 
day	#,NP,1 
ruan	#,NP,1 
yu	#,NP,1 
bilzerian	#,NP,1 
s7	#,NP,1 
thiago	#,NP,1 
cadillac	#,NP,1 
dieguito	#,NP,1 
rita	#,NP,1 
rogit	#,NP,1 
d1	#,NP,1 
razr	#,NP,1 
xt918	#,NP,1 
bullwinkle	#,NP,1 
get	#,NP,2 
rocky	#,NP,1 
weird	#,NP,1 
livinho	#,NP,1 
megan	#,NP,1 
bandcamp	#,NP,1 
brahma	#,NP,1 
afterschool	#,NP,1 
down	#,NP,1 
hickman	#,NP,1 
kristen	#,NP,1 
sones	#,NP,1 
manoela	#,NP,1 
mia	#,NP,1 
weeknd	#,NP,1 
pavilion	#,NP,2 
skype	#,NP,1 
priscila	#,NP,2 
val	#,NP,1 
valdirene	#,NP,4 
werneck	#,NP,2 
yani	#,NP,1 
annes	#,NP,1 
prass	#,NP,1 
angel	#,NP,1 
curran	#,NP,1 
forrest	#,NP,8 
gump	#,NP,4 
jenny	#,NP,6 
cream	#,NP,1 
nocturnes	#,NP,1 
sandwich	#,NP,1 
consul	#,NP,2 
ricardo	#,NP,2 
blue	#,NP,1 
schneider	#,NP,1 
st550	#,NP,2 
gabriela	#,NP,1 
rodino	#,NP,1 
ronildo	#,NP,1 
maximo	#,NP,1 
picasa	#,NP,1 
sky	#,NP,1 
beliebers	#,NP,1 
spotify	#,NP,2 spotify,NP,1 
alves	#,NP,1 
fran	#,NP,6 
lulu	#,NP,1 
nanda	#,NP,1 
phoenix	#,NP,1 
sam	#,NP,1 
c3	#,NP,1 
semp	#,NP,2 
thoshiba	#,NP,2 
arpels	#,NP,1 
cleef	#,NP,1 
crystaltalk	#,NP,1 
defy	#,NP,1 
eau	#,NP,1 
fire	#,NP,1 
motoblur	#,NP,1 
plus	#,NP,1 
safari	#,NP,1 
toilette	#,NP,1 
tsar	#,NP,1 
3gs	#,NP,1 
4s	#,NP,2 
castlevania	#,NP,1 
i7	#,NP,1 
ps1	#,NP,1 
r2	#,NP,1 
sotn	#,NP,1 
andromeda	#,NP,1 
bolsonaro	#,NP,1 
comeback	#,NP,1 
effect	#,NP,1 
gustavo	#,NP,1 
haruo	#,NP,1 
katheryn	#,NP,1 
mass	#,NP,1 
willys	#,NP,1 
winnick	#,NP,1 
alex	#,NP,1 
beautiful	#,NP,1 
marcella	#,NP,1 
maycom	#,NP,1 
criss	#,NP,1 
darren	#,NP,1 
4minute	#,NP,1 
jiyoon	#,NP,1 
taina	#,NP,2 
aaron	#,NP,1 
lores	#,NP,1 
brooklin	#,NP,1 
queen	#,NP,1 
tim	#,NP,1 
lonely	#,NP,1 
scared	#,NP,1 
xulimpa	#,NP,1 
cy	#,NP,2 
larfleeze	#,NP,1 
fiat	#,NP,1 
hugo	#,NP,1 
victor	#,NP,1 
dawn	#,NP,1 
horizon	#,NP,1 
season	#,NP,1 
slime	#,NP,1 
thugga	#,NP,1 
bass	#,NP,1 
lavi	#,NP,1 
night	#,NP,1 
umbrella	#,NP,1 
finefix	#,NP,1 
ovi	#,NP,1 
pavillion	#,NP,1 
lmao	#,NP,1 
sanghyuk	#,NP,1 
city	#,NP,1 
gui	#,NP,2 
hugh	#,NP,1 
jackman	#,NP,1 
leleu	#,NP,1 
bernardes	#,NP,2 
big	#,NP,2 
claudia	#,NP,2 
costa	#,NP,1 
daniele	#,NP,1 
kinder	#,NP,1 
leifert	#,NP,1 
pereira	#,NP,1 
souza	#,NP,1 
suzuki	#,NP,1 
tiago	#,NP,3 
nutella	#,NP,1 
talitha	#,NP,1 
gangstar	#,NP,1 
ninja	#,NP,1 
storm	#,NP,1 
xt	#,NP,1 
poney	#,NP,1 
serradinho	#,NP,1 
tita	#,NP,2 
adventure	#,NP,1 
