dao	dão,O,5 
piscadinho	piscadinha,O,1 
esfa	está,O,1 
troiste	triste,O,1 
faci	facebook,O,1 fácil,O,1 
deox	deus,O,1 
idol	ídolos,O,1 
madru	madrugada,O,1 
nadrugada	madrugada,O,1 
sombrancelha	sobrancelha,O,1 
arrogancia	arrogância,O,1 
menospresado	menosprezado,O,1 
milhao	milhão,O,1 
prepotencia	prepotência,O,1 
rodrigao	rodrigão,O,3 
drawn	draw,O,1 
exietem	existem,O,1 
g	gb,O,1 
panoramicas	panorâmicas,O,2 
perfoma	performance,O,1 
sempe	semp,O,1 
tenm	tem,O,1 
aqele	aquele,O,1 
dog	dogs,O,1 
fazr	fazer,O,1 
compativel	compatível,O,2 
desiner	designer,O,2 
expessura	espessura,O,1 
varios	vários,O,8 
plasticos	plásticos,O,1 
abrita	abritta,O,1 
genteeq	gente,O,1 
loka	louca,O,1 
fdd	foda,O,1 
irma	irmã,O,2 
pes	pés,O,1 
aceada	asseada,O,1 
biquine	biquíni,O,1 
bunita	bonita,O,2 
campia	campeã,O,1 
conhesso	conheço,O,1 
convercer	convencer,O,1 
deboxadus	debochados,O,1 
fernabda	fernanda,O,1 
fisemus	fizemos,O,1 
inteligenti	inteligentes,O,1 
intendu	entendo,O,1 
ningue	ninguém,O,1 
precocupe	preocupe,O,1 
qque	que,O,1 
qui	que,O,2 
saisse	saísse,O,1 
tanbem	também,O,1 
torsso	torço,O,2 
tve	teve,O,1 
vosseis	vocês,O,2 
xerosa	cheirosa,O,1 
camer	câmera,O,1 
discajem	discagem,O,1 
historias	história,O,1 
manunseio	manuseio,O,1 
mintutos	minutos,O,1 
tamanh	tamanho,O,1 
ventuinha	ventoinha,O,1 
tatiale	tatiele,O,1 
displei	display,O,1 
foruns	fóruns,O,2 
nivel	nível,O,2 
sonny	sony,O,1 
fragiu	frágil,O,1 
funcionabilidade	funcionalidade,O,1 
otico	óptico,O,1 ótico,O,1 
toch	touch,O,1 
am	amo,O,1 
demon	damon,O,1 
idzer	dizer,O,1 
metrosexual	metrosexual,O,1 
trainner	trainer,O,1 
maze	fazer,O,1 
produvcsao	produção,O,1 
reputacao	reputação,O,1 
pr	para,O,1 
romantico	romântico,O,1 
tosadin	tosadinho,O,1 
antendeu	atendeu,O,1 
bluray	blu-ray,O,1 
cotrole	controle,O,1 
desngner	designer,O,1 
dis	diz,O,1 
pefeito	perfeito,O,1 
reclmar	reclamar,O,1 
color	collor,O,2 
saney	sarney,O,3 
aparencia	aparência,O,4 
carissima	caríssima,O,1 
maminas	lâminas,O,1 
maravilhos	maravilhosos,O,1 
tlas	telas,O,1 
uidado	cuidado,O,1 
certissimos	certíssimos,O,1 
desinterese	desinteresse,O,1 
qmd	quando,O,1 
taquei	ataquei,O,1 
edicao	edição,O,2 
fudendo	fodendo,O,1 
fudida	fodida,O,1 
habibs	habib's,O,1 
fulor	flor,O,1 
pirainha	piranha,O,1 
aconcelho	aconselho,O,1 
calidade	qualidade,O,1 
deticada	dedicada,O,1 
extraordinario	extraordinário,O,1 
nen	nem,O,1 
apxonado	apaixonando,O,1 apaixonado,O,1 
assm	assim,O,1 
estvam	estavam,O,1 
fznd	fazendo,O,1 
memu	mesmo,O,1 
sufoc	sufoco,O,1 
inves	invés,O,2 
sansung	samsung,O,5 
injenuas	ingênuas,O,1 
namors	namora,O,1 
olhano	olhando,O,1 
rebolano	rebolando,O,1 
veno	vendo,O,1 
chanmi	chance,O,1 
ein	hein,O,1 
explodie	explodir,O,1 
analizar	analisar,O,1 
confiaveis	confiáveis,O,1 
labortatorios	laboratórios,O,1 
nuggts	nuggets,O,1 
cprdei	acordei,O,1 
demte	dente,O,1 
espectativa	expectativa,O,1 
fla	falam,O,1 
terere	tereré,O,1 
forum	fórum,O,8 
posicionamente	posicionamento,O,1 
proxima	próxima,O,3 
substimar	subestimar,O,1 
acontenceu	aconteceu,O,1 
coincidencia	coincidência,O,1 
tras	atrás,O,1 trás,O,1 
bobalhao	bobalhão,O,1 
abracaad	abraçado,O,1 
horaas	horas,O,1 
mrlhor	melhor,O,1 
trabesseiros	travesseiros,O,1 
va	vá,O,2 
dispoe	dispõe,O,1 
expancivel	expansível,O,1 
horario	horário,O,1 
inacreditavel	inacreditável,O,1 
maos	mãos,O,2 
obtiva	obtive,O,1 
sabados	sabádos,O,1 
transferencia	transferência,O,2 
hipocritas	hipócritas,O,1 
lesionando	lesionado,O,1 
mndo	mundo,O,1 
adcionais	adicionais,O,1 
ccoisas	coisas,O,1 
compatividade	compatível,O,1 
credito	crédito,O,1 
demtre	dentre,O,1 
imcrivel	incrível,O,1 
produ	produto,O,1 
qualidaes	qualidades,O,1 
saida	saídas,O,1 saída,O,3 
amanda	amada,O,1 
ensiaos	ensaios,O,1 
fatale	fatal,O,1 
eseprar	esperar,O,1 
habil	hábil,O,1 
primarios	primários,O,1 
tedio	tédio,O,1 
tva	tava,O,1 
anatomica	anatômica,O,1 
el	e,O,1 
eoutras	outras,O,1 
etrodomesticos	eletrodomésticos,O,1 
gas	gás,O,1 
lampada	lâmpada,O,1 
amavel	amável,O,1 
aniversario	aniversário,O,2 
comeca	começa,O,2 
comecar	começar,O,1 
decepcao	decepção,O,1 
educacao	educação,O,1 
equanto	enquanto,O,1 
ignorancia	ignorância,O,1 
inscrevir	inscrevi,O,1 
ola	olá,O,1 
permido	permitido,O,1 
suburbio	subúrbio,O,1 
usuarios	usuários,O,2 
ganharao	ganharão,O,1 
loko	louco,O,1 
aproveitemm	aproveitem,O,1 
elasticos	elásticos,O,1 
elle	ele,O,1 
bebada	bêbada,O,2 
acjo	acho,O,1 
fuder	foder,O,2 
fudido	fodido,O,1 
concusrso	concurso,O,1 
indice	índice,O,3 
missao	missão,O,2 
patetico	patético,O,1 
rejeicao	rejeição,O,6 
tera	terá,O,1 
binzinho	bonzinho,O,1 
chancr	chance,O,1 
analogica	analógica,O,2 
arrempedi	arrependi,O,1 
caracteristiva	característica,O,1 
dinamica	dinâmica,O,3 
esperiencia	experiência,O,1 
movel	móvel,O,2 
trouxes	trouxe,O,2 
umido	úmido,O,1 
usalos	usa-los,O,1 
duzia	dúzia,O,1 
porr	porrada,O,1 
rodiado	rodeado,O,1 
pacero	parceiro,O,1 
encomode	incomode,O,1 
historia	história,O,1 
sensualizand	sensualizando,O,1 
telespetador	telespctador,O,1 
frecuras	frescuras,O,1 
periodo	período,O,1 
adquir	adquirir,O,1 
basico	básico,O,1 
mlhores	melhores,O,1 
numeros	números,O,1 
ohar	olhar,O,1 
ois	pois,O,1 
parametros	parâmetros,O,1 
preco	preço,O,1 
utilizacao	utilização,O,1 
democratico	democrático,O,1 
mamae	mamãe,O,1 
minimo	mínimo,O,1 
querereia	quereria,O,1 
tipico	típico,O,2 
musicas	músicas,O,1 
belissimo	belíssimo,O,1 
colocacao	colocação,O,1 
impressao	impressão,O,2 
instalacao	instalação,O,1 
opcoes	opções,O,2 
quiz	quiser,O,1 
quizer	quiser,O,1 
cendo	sendo,O,1 
contrarte	constraste,O,1 
esiste	existe,O,1 
exigencia	exigência,O,1 
fuciona	funciona,O,2 
fucionou	funcionou,O,1 
imajem	imagem,O,1 
proprio	próprio,O,2 
assimetricos	assimétricos,O,1 
cao	#,O,1 
composi	#,O,1 
questao	questão,O,3 
simserament	sinceramente,O,1 
bab	#,O,1 
funiquem	futriquem,O,1 
quice	#,O,1 
sofa	sofá,O,1 
granda	grande,O,1 
sebar	secar,O,1 
funcao	função,O,1 
gravissimo	gravissímo,O,1 
initilizou	inutilizou,O,1 
panel	painel,O,1 
poi	pois,O,1 
pricipal	principal,O,1 
surporta	suporta,O,1 
bebado	bêbado,O,1 
cosegue	consegue,O,1 
enxergan	enxergam,O,1 
felizao	felizão,O,1 
fisica	física,O,3 
ridiculo	ridículo,O,1 
crocolilagem	crocolilagem,O,1 
cancer	câncer,O,1 
doi	dói,O,1 
fudder	foder,O,1 
putta	puta,O,1 
vagabba	vagaba,O,1 
ceis	vocês,O,1 
euc	eu,O,1 
inutil	inútil,O,2 
fizessemos	fizéssemos,O,1 
obrigacao	obrigação,O,1 
sarcastica	sarcástica,O,1 
faiz	faz,O,1 
sairem	saírem,O,1 
brazil	brasil,O,1 
cvs	conversar,O,1 
insulficiente	insuficiente,O,1 
lyndo	lindo,O,1 
traida	traída,O,1 
cliche	clichê,O,1 
dae	daí,O,1 
fugindoo	fugindo,O,1 
problems	problemas,O,1 
fod	foda,O,1 
fodiii	fodi,O,1 
pessado	pesado,O,1 
concorrencia	concorrência,O,2 
deacho	acho,O,1 
decarega	descarrega,O,1 
muinto	muito,O,1 
resursos	recursos,O,1 
roduto	produto,O,1 
acdemia	academia,O,1 
achu	acho,O,1 
derrepente	#,O,1 
kpop	k-pop,O,1 
alguam	alguma,O,1 
curtiuu	curtiu,O,1 
definiuu	definiu,O,1 
delees	deles,O,1 
depoiis	depois,O,1 
elee	ele,O,2 
falaa	fala,O,1 
faloo	falo,O,1 
foruum	fórum,O,1 
fuii	fui,O,1 
hojee	hoje,O,1 
morrendoo	morrendo,O,1 
preferenciaa	preferência,O,1 
perdao	perdão,O,1 
propria	própria,O,1 
caminah	caminhar,O,1 
elaa	ela,O,1 
mia	minha,O,1 
pradronizar	padronizar,O,1 
graca	graça,O,1 
parachoque	para-choque,O,1 
paralama	para-lama,O,1 
watsapp	whatsapp,O,1 
autura	altura,O,1 
imbcil	imbecil,O,1 
merd	merda,O,1 
put	puta,O,1 
analogico	analógico,O,2 
aprelhos	aparelhos,O,1 
incoveniente	inconveniente,O,1 
oseco	seco,O,1 
preferencias	preferência,O,1 
baraulho	barulho,O,1 
cosinha	cozinha,O,1 
entrga	entrega,O,1 
oleo	óleo,O,1 
opniao	opinião,O,1 
usufluir	usufruir,O,1 
vdro	vidro,O,1 
descidi	decidi,O,1 
fixacao	fixação,O,1 
fotograficas	fotográficas,O,1 
tres	três,O,2 
materia	matéria,O,3 
showzao	showzão,O,1 
blilho	brilho,O,1 
concelho	conselho,O,1 
optica	óptica,O,1 
priciparnte	principalmente,O,1 
retante	restante,O,1 
silencio	silêncio,O,1 
buscopam	buscopan,O,1 
remedio	remédio,O,1 
enfileiras	enfileirar,O,1 
espereme	espreme,O,1 
animacao	animação,O,1 
beem	bem,O,1 
clic	clique,O,1 
deslunbrada	deslumbrada,O,1 
escolhee	escolhe,O,1 
esssas	essas,O,1 
faco	faço,O,1 
satisfatorio	satisfatório,O,1 
tm	tem,O,1 
universitario	universitário,O,1 
universitarios	universitários,O,1 
ambiwoox	ambi-woox,O,1 
chao	chão,O,1 
estave	estava,O,1 
limpissimo	limpíssimo,O,1 
queriamos	queríamos,O,1 
recomedo	recomendo,O,1 
ruido	ruído,O,1 
trablalho	trabalho,O,1 
adapatador	adaptador,O,1 
gratis	grátis,O,2 
imbutido	embutido,O,1 
limpesa	limpeza,O,1 
obtem	obtém,O,1 
relacao	relação,O,1 
exa	essa,O,1 
pokemon	pokémon,O,1 
sndo	sendo,O,1 
carater	caráter,O,1 
automaticos	automáticos,O,2 
qualdiade	qualidade,O,2 
cntg	contigo,O,1 
india	índia,O,1 
pao	pão,O,1 
pareo	páreo,O,2 
bonitao	bonitão,O,1 
preucupado	preocupado,O,1 
deizer	dizer,O,1 
levvando	levando,O,1 
panac	panaca,O,1 
edredon	edredom,O,1 
unilevere	unilever,O,1 
trist	triste,O,1 
estreesse	estresse,O,1 
midia	mídia,O,1 
engrassado	engraçado,O,1 
inteligencia	inteligência,O,1 
ma	má,O,1 
optico	óptico,O,1 
portatil	portátil,O,1 
produlto	produto,O,1 
bapho	bafo,O,1 
dala	dela,O,1 
descepcionei	decepcionei,O,1 
espectativas	expectativas,O,1 
le	lê,O,1 
nitida	nítida,O,2 
satisfesz	satisfez,O,1 
smatephone	smartphone,O,1 
at	et,O,1 
ci	cú,O,1 
jo	só,O,1 
skaipou	skype,O,1 
implicancia	implicância,O,1 
mubdo	mundo,O,1 
unicas	únicas,O,1 
eficiencia	eficiência,O,2 
email	e-mail,O,4 
meracado	mercado,O,1 
miseros	míseros,O,2 
sofrivel	sofrível,O,4 
telefonico	telefônico,O,4 
ppr	por,O,1 
idrolatar	idolatrar,O,1 
bonis	boninho,O,1 
drogga	droga,O,2 
eith	eita,O,1 
interesante	interessante,O,1 
voltau	voltou,O,1 
volkswagem	volkswagen,O,1 
leganda	legenda,O,1 
arrombdo	arrombado,O,1 
baton	batom,O,1 
feiao	feião,O,1 
encomoda	incomoda,O,1 
miuta	muita,O,1 
atitutude	atitude,O,1 
ciencia	ciência,O,1 
licao	lição,O,1 
mediocre	medíocre,O,1 
neuronios	neurônios,O,1 
galere	galera,O,1 
incluido	incluído,O,1 
veterado	veterano,O,1 
combustivel	combustível,O,1 
poe	põe,O,1 
componete	componente,O,1 
tatuape	tatuapé,O,1 
elonqueci	enlouqueci,O,1 
pasa	passa,O,1 
educacial	educacional,O,1 
pscicologia	psicologia,O,1 
belissima	belíssima,O,1 
besteria	besteira,O,1 
cheando	chegando,O,1 
espetetacular	espetacular,O,1 
litium	lithium,O,1 
posui	possui,O,1 
protudo	produto,O,1 
versatil	versátil,O,1 
di	de,O,1 
tomen	tomem,O,1 
guela	goela,O,1 
saido	saído,O,1 
tiozao	tiozão,O,1 
wue	que,O,1 
hipoteses	hipóteses,O,1 
lindu	lindo,O,1 
podologa	podóloga,O,1 
brodinhno	brotherzinhos,O,1 
cagaro	cagaram,O,1 
discipulo	discípulo,O,1 
terrivel	terrível,O,1 
conciencia	consciência,O,1 
ingles	inglês,O,1 
mimim	mimimi,O,1 
bahiano	baiano,O,1 
questionavel	questionável,O,1 
reporter	repórter,O,1 
concordsr	concordar,O,1 
fasso	faço,O,1 
gremio	grêmio,O,1 
memso	mesmo,O,1 
ponde	pondé,O,1 
relogio	relógio,O,1 
excelenconte	excelente,O,1 
fotografica	fotográfica,O,1 
grandem	grande,O,1 
wifi	wi-fi,O,2 
apotar	apostar,O,1 
cheroso	cheiroso,O,1 
minino	mínimo,O,1 
paciencia	paciência,O,1 
arrenpendimento	arrependimento,O,1 
centifugar	centrifugar,O,1 
centrefuga	centrifuga,O,1 
centrifuga	centrifugar,O,1 
fragil	frágil,O,3 
frequencia	frequência,O,1 
senhpra	senhora,O,1 
idot	idiot,O,1 
canera	câmera,O,1 
dendro	dentro,O,1 
depedendo	dependendo,O,1 
geito	jeito,O,1 
muio	muito,O,1 
pixil	pixel,O,1 
poco	pouco,O,1 
senssivel	sensível,O,1 
teveria	deveria,O,1 
