facul	faculdade,AB,4 
fics	fanfics,AB,1 
dmais	demais,AB,1 
cnvs	conversar,AB,1 
mbytes	megabytes,AB,1 
hetero	heterosexual,AB,1 
lgd	ligado,AB,1 
promo	promoção,AB,1 
peq	pequena,AB,1 
flu	fluminense,AB,1 
hoj	hoje,AB,1 
secr	secar,AB,1 
dx	deixa,AB,1 
fessor	professor,AB,1 
